date,sunspot
1809-01-01,23.4
1810-01-01,4.3
1811-01-01,27.6
1812-01-01,53.8
1813-01-01,66.8
1814-01-01,61.2
1815-01-01,18.7
1816-01-01,9.1
1817-01-01,42.6
1818-01-01,66.7
1819-01-01,62.0
1820-01-01,49.3
1821-01-01,1.4
1822-01-01,31.7
1823-01-01,54.7
1824-01-01,63.8
1825-01-01,51.4
1826-01-01,9.7
1827-01-01,11.1
1828-01-01,41.1
1829-01-01,66.6
1830-01-01,61.5
1831-01-01,23.4
1832-01-01,28.8
1833-01-01,34.2
1834-01-01,51.1
1835-01-01,74.4
1836-01-01,37.5
1837-01-01,10.6
1838-01-01,10.2
1839-01-01,40.3
1840-01-01,67.0
1841-01-01,53.3
1842-01-01,35.0
1843-01-01,24.3
1844-01-01,23.4
1845-01-01,59.2
1846-01-01,57.7
1847-01-01,43.6
1848-01-01,37.1
1849-01-01,12.6
1850-01-01,122.5
1851-01-01,77.0
1852-01-01,79.9
1853-01-01,24.9
1854-01-01,10.3
1855-01-01,30.7
1856-01-01,54.7
1857-01-01,63.7
1858-01-01,45.6
1859-01-01,13.6
1860-01-01,11.6
1861-01-01,67.8
1862-01-01,58.2
1863-01-01,66.0
1864-01-01,23.0
1865-01-01,1.7
1866-01-01,24.6
1867-01-01,55.6
1868-01-01,75.1
1869-01-01,55.2
1870-01-01,29.7
1871-01-01,34.4
1872-01-01,48.0
1873-01-01,74.7
1874-01-01,60.0
1875-01-01,28.1
1876-01-01,10.2
1877-01-01,26.3
1878-01-01,80.3
1879-01-01,65.0
1880-01-01,42.7
1881-01-01,40.7
1882-01-01,20.4
1883-01-01,44.9
1884-01-01,94.6
1885-01-01,58.5
1886-01-01,35.8
1887-01-01,29.0
1888-01-01,30.5
1889-01-01,65.7
1890-01-01,69.8
1891-01-01,43.8
1892-01-01,8.9
1893-01-01,8.7
1894-01-01,38.9
1895-01-01,69.4
1896-01-01,76.0
1897-01-01,30.7
1898-01-01,10.3
1899-01-01,40.7
1900-01-01,62.7
1901-01-01,64.7
1902-01-01,42.2
1903-01-01,21.0
1904-01-01,36.7
1905-01-01,50.9
1906-01-01,71.9
1907-01-01,56.2
1908-01-01,28.4
1909-01-01,13.3
1910-01-01,23.8
1911-01-01,53.7
1912-01-01,69.2
1913-01-01,40.9
1914-01-01,21.3
1915-01-01,17.1
1916-01-01,39.2
1917-01-01,74.8
1918-01-01,74.8
1919-01-01,45.8
1920-01-01,8.4
1921-01-01,24.6
1922-01-01,62.3
1923-01-01,74.6
1924-01-01,73.4
1925-01-01,14.1
1926-01-01,42.9
1927-01-01,49.8
1928-01-01,70.9
1929-01-01,62.1
1930-01-01,44.9
1931-01-01,1.1
1932-01-01,36.0
1933-01-01,67.2
1934-01-01,61.2
1935-01-01,41.6
1936-01-01,30.4
1937-01-01,9.1
1938-01-01,49.5
1939-01-01,59.7
1940-01-01,68.8
1941-01-01,33.6
1942-01-01,0.3
1943-01-01,34.9
1944-01-01,68.9
1945-01-01,79.1
1946-01-01,53.0
1947-01-01,22.9
1948-01-01,31.9
1949-01-01,82.6
1950-01-01,68.0
1951-01-01,91.8
1952-01-01,29.1
1953-01-01,24.8
1954-01-01,38.6
1955-01-01,102.1
1956-01-01,79.6
1957-01-01,47.2
1958-01-01,47.9
1959-01-01,13.6
1960-01-01,41.0
1961-01-01,66.0
1962-01-01,65.9
1963-01-01,45.2
1964-01-01,9.8
1965-01-01,83.7
1966-01-01,53.3
1967-01-01,59.6
1968-01-01,53.8
1969-01-01,12.6
1970-01-01,33.7
1971-01-01,46.8
1972-01-01,61.9
1973-01-01,67.6
1974-01-01,25.8
1975-01-01,34.3
1976-01-01,30.8
1977-01-01,52.9
1978-01-01,65.4
1979-01-01,42.3
1980-01-01,14.8
1981-01-01,33.5
1982-01-01,41.9
1983-01-01,137.3
1984-01-01,100.6
1985-01-01,75.8
1986-01-01,16.1
1987-01-01,45.3
1988-01-01,84.3
1989-01-01,104.1
1990-01-01,48.0
1991-01-01,11.1
1992-01-01,13.4
1993-01-01,61.0
1994-01-01,67.7
1995-01-01,55.2
1996-01-01,35.9
1997-01-01,16.8
1998-01-01,30.5
1999-01-01,76.8
2000-01-01,70.6
2001-01-01,42.1
2002-01-01,15.4
2003-01-01,13.9
2004-01-01,74.1
2005-01-01,62.8
2006-01-01,67.9
2007-01-01,45.4
2008-01-01,17.8
