date,country,gdp,inflation,interest_rate,unemployment
2010-10-01,JP,0.72,0.4082,0.3384,3.1311
2010-10-01,BR,2.7823,5.2897,8.0298,8.8976
2011-01-01,US,2.617,2.2739,3.248,5.4667
2011-01-01,UK,1.6271,1.4189,2.4996,5.6467
2011-01-01,DE,1.3704,1.9258,1.8915,4.2029
2011-01-01,JP,1.0795,0.1945,0.0996,3.8176
2011-01-01,BR,2.8983,4.9466,7.8195,8.2671
2011-04-01,US,2.3427,1.7525,2.6534,5.15
2011-04-01,UK,1.6244,2.1862,2.5993,5.6539
2011-04-01,DE,1.1983,1.8035,1.808,4.5873
2011-04-01,JP,0.9977,0.6746,0.2729,3.8874
2011-04-01,BR,2.7954,4.4361,7.9521,8.3596
2011-07-01,US,2.5758,1.9818,2.7688,4.8359
2011-07-01,UK,1.9652,2.4289,2.3559,5.9172
2011-07-01,DE,1.0643,1.6172,2.1493,4.8167
2011-07-01,JP,0.8774,0.6405,0.4184,2.8533
2011-07-01,BR,2.606,4.7524,7.8204,8.2704
2011-10-01,US,2.8655,1.8815,2.5909,5.0256
2011-10-01,UK,1.8535,2.4046,2.3318,6.3638
2011-10-01,DE,0.5844,1.6101,1.8352,4.4143
2011-10-01,JP,1.2056,0.8295,0.4484,3.1349
2011-10-01,BR,2.7594,4.8826,7.8407,8.0739
2012-01-01,US,2.7234,2.1392,2.4593,4.7039
2012-01-01,UK,1.3532,2.6946,2.4486,6.0452
2012-01-01,DE,0.621,2.2536,1.4778,4.5372
2012-01-01,JP,1.3703,0.362,0.3016,3.4106
2012-01-01,BR,3.7295,5.0532,8.3652,8.3923
2012-04-01,US,2.7179,1.7645,3.0762,4.4223
2012-04-01,UK,2.1416,2.6903,1.6126,5.6536
2012-04-01,DE,1.2499,1.9033,1.7026,4.2843
2012-04-01,JP,0.8075,0.4357,0.3899,3.3818
2012-04-01,BR,3.7059,4.7413,8.3194,8.2493
2012-07-01,US,2.1222,1.4783,3.0163,5.342
2012-07-01,UK,2.2273,2.106,1.1758,5.7617
2012-07-01,DE,1.3511,2.1859,1.3277,4.5049
2012-07-01,JP,1.1676,0.3435,0.3103,3.447
2012-07-01,BR,3.4942,4.8498,8.4834,7.9989
2012-10-01,US,1.8936,2.32,2.8367,4.9886
2012-10-01,UK,2.0469,2.2968,1.8076,5.5942
2012-10-01,DE,1.4139,1.9897,0.6867,5.0737
2012-10-01,JP,1.0537,0.6014,-0.0384,3.3466
2012-10-01,BR,3.0347,5.3418,8.1273,8.2536
2013-01-01,US,2.0495,2.0507,2.8348,5.3732
2013-01-01,UK,1.4242,2.0076,1.5951,5.2143
2013-01-01,DE,1.2159,1.3716,0.8384,4.1724
2013-01-01,JP,0.7248,0.9417,0.3115,3.486
2013-01-01,BR,2.7088,4.6912,7.7248,8.1381
2013-04-01,US,2.5362,2.2945,3.1128,4.9268
2013-04-01,UK,1.7008,2.1239,2.0237,5.9705
2013-04-01,DE,0.8593,1.5365,1.476,3.9251
2013-04-01,JP,0.6474,0.5327,0.3175,2.9949
2013-04-01,BR,3.0117,5.0824,7.9271,7.7956
2013-07-01,US,2.5401,1.8841,2.9281,5.5941
2013-07-01,UK,1.8393,1.9269,2.3165,5.2888
2013-07-01,DE,0.8421,1.3743,1.3272,4.5278
2013-07-01,JP,0.9837,0.6969,0.0778,3.0953
2013-07-01,BR,3.0745,4.8436,7.873,8.0061
2013-10-01,US,2.3838,1.9879,3.4507,5.2078
2013-10-01,UK,2.2673,2.3182,1.9898,5.0782
2013-10-01,DE,0.9462,1.3464,1.359,4.7119
2013-10-01,JP,1.3741,0.6992,0.1343,2.6847
2013-10-01,BR,3.0428,4.9302,7.9509,8.6299
2014-01-01,US,2.8079,2.2386,2.8912,4.9294
2014-01-01,UK,2.0996,2.1607,2.4671,5.4108
2014-01-01,DE,0.9277,1.9587,1.4362,4.0848
2014-01-01,JP,1.2034,0.7144,0.5846,3.0474
2014-01-01,BR,3.2536,5.0239,7.5446,7.9025
2014-04-01,US,2.99,2.4796,3.0346,5.4002
2014-04-01,UK,2.366,2.5087,2.2225,5.9642
2014-04-01,DE,1.397,1.7443,1.2559,4.3845
2014-04-01,JP,0.6247,0.8172,0.2515,3.411
2014-04-01,BR,2.963,4.9329,7.4704,7.8675
2014-07-01,US,3.3116,2.6662,3.0916,5.1705
2014-07-01,UK,2.4118,2.8514,2.1115,5.686
2014-07-01,DE,0.9205,2.1173,1.9735,4.4845
2014-07-01,JP,0.1781,0.8429,0.0922,3.2463
2014-07-01,BR,3.1694,5.0666,7.4902,7.7169
2014-10-01,US,2.9298,2.2352,2.6682,4.9734
2014-10-01,UK,2.2944,2.6813,1.9067,5.8721
2014-10-01,DE,0.3683,1.8146,1.5514,4.5379
2014-10-01,JP,0.752,1.0362,0.0798,3.5174
2014-10-01,BR,3.1345,4.5348,8.2402,7.3964
2015-01-01,US,2.8205,2.2313,2.9172,4.8424
2015-01-01,UK,2.3559,2.1494,2.2027,5.4836
2015-01-01,DE,0.7435,1.9274,1.8287,4.4373
2015-01-01,JP,1.1187,0.7698,0.0063,3.4004
2015-01-01,BR,2.9673,4.5899,8.2723,7.7569
2015-04-01,US,2.1792,1.6206,3.0722,4.6811
2015-04-01,UK,2.2501,2.5283,2.0176,5.0515
2015-04-01,DE,1.6267,1.9501,1.5358,4.1952
2015-04-01,JP,0.9238,0.2775,0.495,3.2067
2015-04-01,BR,3.3095,4.7058,7.8523,7.7453
2015-07-01,US,1.5505,1.7687,2.9839,5.0916
2015-07-01,UK,1.5651,2.8673,2.5666,5.6435
2015-07-01,DE,1.5513,2.1634,1.0677,4.5506
2015-07-01,JP,0.735,-0.091,0.1525,3.3534
2015-07-01,BR,2.9,4.9683,7.3505,7.2026
2015-10-01,US,2.452,2.1699,2.6945,5.026
2015-10-01,UK,2.0726,2.8481,2.5223,5.8958
2015-10-01,DE,1.2852,1.9443,1.2625,4.4352
2015-10-01,JP,0.7138,0.2838,0.3081,3.0965
2015-10-01,BR,3.1834,4.6992,7.51,7.457
2016-01-01,US,2.5925,1.4486,3.1293,4.7966
2016-01-01,UK,2.3837,2.5643,2.4539,6.2498
2016-01-01,DE,1.3138,2.2246,1.3768,4.5957
2016-01-01,JP,0.8716,0.6848,0.1864,3.0082
2016-01-01,BR,2.8913,4.9006,7.5971,7.8967
2016-04-01,US,2.8981,1.4237,2.8305,4.4935
2016-04-01,UK,2.7598,2.6172,2.5964,5.4329
2016-04-01,DE,1.3978,2.1186,1.3588,4.8704
2016-04-01,JP,1.6398,0.3284,0.0244,3.0132
2016-04-01,BR,3.4261,5.2833,7.6822,7.9347
2016-07-01,US,2.4286,1.9478,2.7984,4.7111
2016-07-01,UK,2.5712,2.5019,2.4957,5.4603
2016-07-01,DE,1.701,2.4125,1.6012,4.8998
2016-07-01,JP,1.3132,0.2531,0.4122,3.3455
2016-07-01,BR,2.7991,5.0052,7.7671,7.7948
2016-10-01,US,2.9296,2.1195,3.3249,4.9525
2016-10-01,UK,2.3052,2.2229,2.5242,5.4779
2016-10-01,DE,1.163,1.8846,1.4695,4.7906
2016-10-01,JP,1.3107,0.2265,0.5759,3.384
2016-10-01,BR,2.0551,4.8732,8.1716,7.3749
2017-01-01,US,2.7331,2.5345,2.8928,4.9872
2017-01-01,UK,1.751,2.8187,2.5156,5.4968
2017-01-01,DE,1.7353,2.0145,1.2309,4.4386
2017-01-01,JP,1.3009,0.1849,-0.0982,3.4375
2017-01-01,BR,2.1183,5.4614,8.1856,7.3962
2017-04-01,US,2.4362,1.717,2.5927,5.2869
2017-04-01,UK,2.5524,2.9299,2.4529,5.3657
2017-04-01,DE,1.3254,2.5136,1.2966,5.0955
2017-04-01,JP,1.5581,-0.1157,-0.0394,3.2612
2017-04-01,BR,2.5789,5.2186,9.0492,7.3565
2017-07-01,US,2.5317,2.0283,2.8375,5.1664
2017-07-01,UK,1.9581,2.7942,2.65,5.5399
2017-07-01,DE,1.5623,2.499,1.691,4.7863
2017-07-01,JP,0.9415,0.0879,0.1309,3.4761
2017-07-01,BR,2.6838,4.8117,8.3607,7.2099
2017-10-01,US,2.4438,1.5768,2.6358,4.9572
2017-10-01,UK,1.5807,2.7972,2.7788,5.3578
2017-10-01,DE,1.354,2.2457,1.4035,4.3815
2017-10-01,JP,1.3143,0.6025,0.4834,3.7492
2017-10-01,BR,2.269,5.3352,8.3711,7.8975
2018-01-01,US,2.563,1.79,2.7803,5.0958
2018-01-01,UK,1.7071,2.9427,2.1229,5.28
2018-01-01,DE,2.0217,1.7983,1.3882,4.1795
2018-01-01,JP,1.2464,0.3251,0.4325,3.8712
2018-01-01,BR,2.4458,5.4107,8.5099,8.2751
2018-04-01,US,2.5672,2.8533,3.2261,5.1424
2018-04-01,UK,1.6061,2.7497,2.7465,5.9112
2018-04-01,DE,2.2066,2.0515,1.0574,4.4935
2018-04-01,JP,0.7394,-0.0233,0.5218,3.8333
2018-04-01,BR,3.0188,5.3409,8.5043,7.8729
2018-07-01,US,2.5544,2.0148,2.4694,5.2805
2018-07-01,UK,1.5831,2.9303,2.899,5.5157
2018-07-01,DE,2.0197,1.7122,0.7302,4.5345
2018-07-01,JP,0.701,0.1394,1.1163,3.1926
2018-07-01,BR,3.1398,4.8469,8.6289,8.0536
2018-10-01,US,2.6431,1.7009,2.5576,5.3964
2018-10-01,UK,2.3486,2.8963,2.3627,5.6275
2018-10-01,DE,2.502,1.7867,1.5491,4.2916
2018-10-01,JP,0.8196,0.5145,0.9774,3.1428
2018-10-01,BR,2.8277,5.2116,8.7633,8.5075
2019-01-01,US,3.1062,1.8642,2.7467,5.5812
2019-01-01,UK,2.3952,2.4393,2.13,5.7102
2019-01-01,DE,1.9463,1.8119,1.858,4.6151
2019-01-01,JP,1.3137,-0.0708,0.8571,3.5672
2019-01-01,BR,2.4756,4.8921,8.2555,8.3079
2019-04-01,US,3.2674,2.4981,2.6617,5.435
2019-04-01,UK,2.3583,2.5752,2.4698,5.6936
2019-04-01,DE,2.2214,2.1362,1.3755,4.7913
2019-04-01,JP,1.4274,0.3154,1.0169,3.6278
2019-04-01,BR,2.8245,5.0006,7.5561,8.1596
2019-07-01,US,2.7045,1.8857,3.2722,5.3559
2019-07-01,UK,2.1836,2.3859,2.569,5.8981
2019-07-01,DE,1.6069,1.943,1.7087,4.0482
2019-07-01,JP,1.219,0.2671,0.7152,3.4481
2019-07-01,BR,2.9806,5.6026,7.6012,8.1675
2019-10-01,US,3.1835,1.7765,3.669,5.1635
2019-10-01,UK,2.6133,2.6548,2.6193,5.6634
2019-10-01,DE,1.3732,1.892,1.8801,4.2906
2019-10-01,JP,1.0234,0.3219,0.9042,3.8714
2019-10-01,BR,2.8013,5.0628,7.8805,8.5351
2020-01-01,US,3.1359,1.51,3.2037,4.8199
2020-01-01,UK,2.224,3.0624,2.1609,5.093
2020-01-01,DE,1.1931,1.9312,1.8989,4.546
2020-01-01,JP,1.3681,-0.1388,1.0793,3.5973
2020-01-01,BR,3.1254,4.6412,7.929,8.3579
2020-04-01,US,3.1099,1.2488,3.0984,4.6151
2020-04-01,UK,2.2872,3.0672,2.7644,5.1481
2020-04-01,DE,1.6234,2.2576,1.2246,4.7015
2020-04-01,JP,1.4806,0.1052,0.4321,3.8587
2020-04-01,BR,2.6991,4.7811,7.9273,8.3993
2020-07-01,US,2.56,1.3864,3.0612,5.1631
2020-07-01,UK,2.8642,2.3747,2.7238,5.018
2020-07-01,DE,1.8671,1.6949,1.1669,4.4126
2020-07-01,JP,1.2288,0.4085,0.5874,3.6788
2020-07-01,BR,2.4643,5.1372,7.9101,8.558
2020-10-01,US,2.2904,1.1838,3.0294,5.4735
2020-10-01,UK,2.4956,2.343,2.3995,5.8084
2020-10-01,DE,1.4032,1.5318,1.4976,3.9012
2020-10-01,JP,1.5081,0.6294,0.809,3.7624
2020-10-01,BR,2.7007,4.7568,7.8851,8.0013
2021-01-01,US,2.5001,1.8,3.4946,5.332
2021-01-01,UK,2.4952,2.2884,2.3235,5.7772
2021-01-01,DE,1.3754,1.7677,1.1689,3.9755
2021-01-01,JP,1.4631,0.7832,0.354,3.8502
2021-01-01,BR,2.6986,4.9017,8.3403,8.2375
2021-04-01,US,2.724,2.4814,2.9963,4.8594
2021-04-01,UK,2.0039,2.2878,1.7365,5.5581
2021-04-01,DE,1.3153,2.0182,1.4233,4.0979
2021-04-01,JP,1.4302,0.8278,0.181,3.5299
2021-04-01,BR,2.1923,4.6396,7.991,8.1643
2021-07-01,US,2.3523,2.1065,2.5953,4.9767
2021-07-01,UK,2.1059,2.5172,2.1663,5.0425
2021-07-01,DE,1.2297,1.7699,1.3178,4.3398
2021-07-01,JP,1.6521,0.8968,0.0052,3.7242
2021-07-01,BR,2.8016,4.6529,8.2146,8.0257
2021-10-01,US,2.027,2.1886,2.8843,4.9096
2021-10-01,UK,2.0477,2.3036,2.5522,5.2678
2021-10-01,DE,1.4379,1.8932,1.0381,4.1607
2021-10-01,JP,0.6902,0.8528,-0.1593,3.6415
2021-10-01,BR,3.0164,5.044,7.7476,7.997
2022-01-01,US,2.7936,2.6295,3.2338,5.0418
2022-01-01,UK,1.7197,2.6044,2.4795,5.5542
2022-01-01,DE,1.2935,1.7841,1.2882,4.4193
2022-01-01,JP,0.9852,0.5077,-0.261,4.0137
2022-01-01,BR,3.7423,5.1641,7.4176,7.7505
2022-04-01,US,2.8201,2.7445,2.6919,4.9815
2022-04-01,UK,1.9304,2.8389,2.3619,5.058
2022-04-01,DE,1.5991,2.133,1.3447,4.5977
2022-04-01,JP,0.8567,0.2729,0.3733,3.8238
2022-04-01,BR,3.5054,5.5049,7.2972,7.689
2022-07-01,US,2.7469,2.223,3.0714,4.9247
2022-07-01,UK,1.7003,2.7556,2.4843,5.5765
2022-07-01,DE,1.6603,2.0846,1.5084,4.4795
2022-07-01,JP,0.7115,0.5015,0.3089,4.1319
2022-07-01,BR,3.6563,5.4072,7.6671,7.7871
2022-10-01,US,2.2473,2.0621,3.0421,5.045
2022-10-01,UK,2.0064,2.9466,2.2588,5.333
2022-10-01,DE,2.0017,2.1605,1.3873,4.4605
2022-10-01,JP,0.8168,0.5096,0.5321,4.5231
2022-10-01,BR,3.3792,5.3578,7.2954,7.7414
2023-01-01,US,2.7639,2.175,1.6994,5.2299
2023-01-01,UK,2.5914,2.1879,2.8384,4.5915
2023-01-01,DE,2.0177,1.9623,0.734,4.6139
2023-01-01,JP,1.2412,0.5888,0.6691,3.8183
2023-01-01,BR,2.6305,5.3637,8.0753,8.1896
2023-04-01,US,2.0669,1.5914,2.195,4.6146
2023-04-01,UK,2.3552,2.4347,2.2647,5.3233
2023-04-01,DE,1.964,1.6931,1.0473,3.9575
2023-04-01,JP,1.0352,0.5254,0.6263,3.7582
2023-04-01,BR,2.9163,5.0968,8.1239,8.4091
2023-07-01,US,2.2752,1.8573,2.6153,4.623
2023-07-01,UK,2.3307,2.2879,2.5172,5.4082
2023-07-01,DE,1.6736,1.6592,1.0925,3.7531
2023-07-01,JP,1.1335,0.5617,0.8099,3.4585
2023-07-01,BR,3.5279,4.9252,7.7955,7.9158
2023-10-01,US,1.8893,2.3722,3.2497,4.9922
2023-10-01,UK,1.8989,2.9068,2.4123,5.3526
2023-10-01,DE,2.0671,1.9392,1.932,4.2245
2023-10-01,JP,0.9684,0.325,0.1048,3.3994
2023-10-01,BR,3.6008,5.1227,7.8616,7.6325
