date,gdp_real,gdp_log
1988-04-01,3107.63,8.041614
1988-07-01,3125.35,8.047301
1988-10-01,3147.07,8.054226
1989-01-01,3159.39,8.058134
1989-04-01,3176.91,8.063664
1989-07-01,3197.64,8.070169
1989-10-01,3211.71,8.074559
1990-01-01,3231.54,8.080713
1990-04-01,3242.31,8.084042
1990-07-01,3255.36,8.088058
1990-10-01,3268.75,8.092163
1991-01-01,3275.23,8.094142
1991-04-01,3294.75,8.100087
1991-07-01,3306.68,8.103699
1991-10-01,3323.72,8.108839
1992-01-01,3344.43,8.115051
1992-04-01,3364.55,8.121049
1992-07-01,3385.77,8.127337
1992-10-01,3401.94,8.1321
1993-01-01,3401.38,8.131937
1993-04-01,3406.25,8.133367
1993-07-01,3400.03,8.131539
1993-10-01,3397.49,8.130792
1994-01-01,3387.88,8.12796
1994-04-01,3385.35,8.127211
1994-07-01,3433.99,8.141478
1994-10-01,3442.51,8.143956
1995-01-01,3456.27,8.147945
1995-04-01,3483.3,8.155736
1995-07-01,3497.03,8.159669
1995-10-01,3519.08,8.165955
1996-01-01,3528.05,8.168501
1996-04-01,3542.78,8.172668
1996-07-01,3551.66,8.17517
1996-10-01,3564.57,8.178799
1997-01-01,3587.42,8.185188
1997-04-01,3589.16,8.185674
1997-07-01,3608.88,8.191152
1997-10-01,3626.78,8.196099
1998-01-01,3637.74,8.199118
1998-04-01,3641.83,8.20024
1998-07-01,3658.78,8.204886
1998-10-01,3670.3,8.20803
1999-01-01,3689.05,8.213125
1999-04-01,3705.6,8.2176
1999-07-01,3734.43,8.225352
1999-10-01,3748.91,8.229219
2000-01-01,3756.25,8.231177
2000-04-01,3774.62,8.236056
2000-07-01,3792.61,8.240809
2000-10-01,3812.65,8.246081
2001-01-01,3824.47,8.249175
2001-04-01,3832.42,8.251251
2001-07-01,3844.74,8.254462
2001-10-01,3839.52,8.253102
2002-01-01,3839.66,8.25314
2002-04-01,3879.06,8.263347
2002-07-01,3892.1,8.266703
2002-10-01,3896.62,8.267864
2003-01-01,3918.44,8.273448
2003-04-01,3933.5,8.277285
2003-07-01,3937.45,8.278288
2003-10-01,3945.65,8.28037
2004-01-01,3963.82,8.284964
2004-04-01,3987.04,8.290804
2004-07-01,4018.93,8.298772
2004-10-01,4058.73,8.308626
2005-01-01,4078.64,8.313518
2005-04-01,4087.38,8.315658
2005-07-01,4085.98,8.315317
2005-10-01,4105.0,8.31996
2006-01-01,4114.34,8.322233
2006-04-01,4126.57,8.325202
2006-07-01,4138.01,8.327969
2006-10-01,4152.94,8.331571
2007-01-01,4178.21,8.337638
2007-04-01,4196.18,8.341929
2007-07-01,4210.88,8.345428
2007-10-01,4219.53,8.347479
2008-01-01,4222.07,8.34808
2008-04-01,4234.45,8.351009
2008-07-01,4250.92,8.354892
2008-10-01,4280.63,8.361856
2009-01-01,4298.67,8.36606
2009-04-01,4309.04,8.368471
2009-07-01,4306.14,8.367797
2009-10-01,4297.72,8.365841
2010-01-01,4294.82,8.365164
2010-04-01,4295.85,8.365406
2010-07-01,4352.06,8.378405
2010-10-01,4361.55,8.380583
2011-01-01,4383.9,8.385694
2011-04-01,4393.3,8.387835
2011-07-01,4416.64,8.393135
2011-10-01,4436.63,8.39765
2012-01-01,4451.23,8.400937
2012-04-01,4466.59,8.404381
2012-07-01,4478.1,8.406954
2012-10-01,4497.4,8.411255
2013-01-01,4509.53,8.413948
2013-04-01,4516.12,8.415409
2013-07-01,4522.71,8.416867
2013-10-01,4539.89,8.420657
2014-01-01,4568.49,8.426937
2014-04-01,4586.43,8.430857
2014-07-01,4602.44,8.434342
2014-10-01,4620.98,8.438362
2015-01-01,4647.14,8.444008
2015-04-01,4664.42,8.447718
2015-07-01,4676.97,8.450407
2015-10-01,4701.52,8.455642
2016-01-01,4721.47,8.459875
2016-04-01,4749.44,8.465782
2016-07-01,4767.16,8.469507
2016-10-01,4773.74,8.470885
2017-01-01,4779.5,8.472091
2017-04-01,4795.32,8.475395
2017-07-01,4817.8,8.480072
2017-10-01,4825.12,8.481591
2018-01-01,4822.78,8.481106
2018-04-01,4840.5,8.484773
2018-07-01,4838.63,8.484387
2018-10-01,4872.6,8.491383
2019-01-01,4893.67,8.495699
2019-04-01,4907.41,8.498501
2019-07-01,4922.9,8.501653
2019-10-01,4937.93,8.504701
