"category","metric","python","R","diferenca_absoluta","tolerance","tolerance_type","within_tolerance"
"IRF (BVAR)","h0_gdp->fed_funds",0.000457839003975333,-0.00277116699776399,0.00322900600173932,0.15,"bvar_irf",TRUE
"IRF (BVAR)","h0_inflation->fed_funds",0.0418148939081167,0.0398792098753658,0.00193568403275087,0.15,"bvar_irf",TRUE
"IRF (BVAR)","h0_fed_funds->fed_funds",0.394194055877144,0.394908145112528,0.000714089235384241,0.15,"bvar_irf",TRUE
"IRF (BVAR)","h0_unemployment->fed_funds",0,0,0,0.15,"bvar_irf",TRUE
"IRF (BVAR)","h0_gdp->unemployment",-0.105690969236378,-0.101032819517697,0.00465814971868117,0.15,"bvar_irf",TRUE
"IRF (BVAR)","h0_inflation->unemployment",0.0729783694236527,0.0701008206237775,0.0028775487998752,0.15,"bvar_irf",TRUE
"IRF (BVAR)","h0_fed_funds->unemployment",-0.0578623471998692,-0.0588642824826256,0.00100193528275644,0.15,"bvar_irf",TRUE
"IRF (BVAR)","h0_unemployment->unemployment",0.266815663006205,0.269154093143267,0.00233843013706214,0.15,"bvar_irf",TRUE
"Forecasts (VAR)","gdp_h1",3.28496153017381,3.2849615301738,5.32907051820075e-15,20,"forecast_value",TRUE
"Forecasts (VAR)","inflation_h1",3.56007381503848,3.56007381503848,1.33226762955019e-15,20,"forecast_value",TRUE
"Forecasts (VAR)","fed_funds_h1",6.48628075456643,6.48628075456643,0,20,"forecast_value",TRUE
"Forecasts (VAR)","unemployment_h1",10.3625097861051,10.3625097861051,2.30926389122033e-14,20,"forecast_value",TRUE
