date,y,x1,x2,x3
1983-07-01,-1.1338,-4.3016,-0.0905,6.6884
1983-10-01,-0.1924,-4.0161,1.4177,6.6398
1984-01-01,-0.1203,-4.6814,1.0005,8.0396
1984-04-01,-0.2333,-4.5094,1.0115,8.114
1984-07-01,0.0743,-3.5094,0.7252,9.2052
1984-10-01,-0.6108,-3.7385,0.8799,9.4396
1985-01-01,-1.1801,-5.062,0.3742,10.0374
1985-04-01,-0.8926,-5.0461,1.6786,9.6226
1985-07-01,-1.0469,-5.738,0.5507,9.1304
1985-10-01,-1.2073,-5.9819,1.4626,9.4262
1986-01-01,-1.1361,-6.0172,0.2332,10.0393
1986-04-01,-1.3832,-7.3517,0.0797,10.0835
1986-07-01,-2.4997,-8.6142,-1.0242,9.3316
1986-10-01,-2.4976,-8.1986,-0.1595,8.5355
1987-01-01,-2.4518,-8.5867,1.3494,7.6992
1987-04-01,-3.3409,-10.6085,0.7323,6.6586
1987-07-01,-3.7468,-9.9506,0.2425,6.7443
1987-10-01,-3.961,-9.7028,-0.9691,7.4393
1988-01-01,-4.5595,-10.2439,-0.8108,7.4513
1988-04-01,-4.5678,-11.2673,-2.0793,6.115
1988-07-01,-4.3229,-10.5687,-2.1604,6.0206
1988-10-01,-4.4566,-10.2592,-1.0695,5.9429
1989-01-01,-3.9102,-8.3231,0.6773,7.2205
1989-04-01,-3.2512,-7.957,3.2156,6.3662
1989-07-01,-2.1225,-7.6168,1.3428,6.1518
1989-10-01,-1.5971,-7.7203,2.241,7.1953
1990-01-01,-0.991,-7.0369,1.5883,7.4853
1990-04-01,-1.8435,-6.5068,0.8018,7.8433
1990-07-01,-0.8333,-5.4755,0.9136,7.9321
1990-10-01,-0.8159,-5.8625,0.6101,8.15
1991-01-01,-1.6559,-6.1809,0.4765,8.6366
1991-04-01,-2.2079,-6.5341,-0.1225,8.1709
1991-07-01,-2.3056,-5.8715,-1.4716,8.7177
1991-10-01,-2.4452,-4.6428,-2.4266,7.9139
1992-01-01,-2.677,-4.9799,-0.8027,8.131
1992-04-01,-2.7829,-5.2897,-0.7583,8.2582
1992-07-01,-2.8344,-5.0084,-1.0511,7.9084
1992-10-01,-2.6791,-5.175,-0.6221,7.9148
1993-01-01,-1.2317,-4.3834,0.4216,7.5613
1993-04-01,-3.0682,-6.1548,0.4334,6.9383
1993-07-01,-3.3391,-6.7862,-0.396,6.7461
1993-10-01,-3.0008,-7.3821,0.9887,6.1037
1994-01-01,-2.9137,-9.2084,2.1724,6.3174
1994-04-01,-3.1345,-9.9493,1.798,5.6473
1994-07-01,-4.0117,-10.6514,2.0525,6.0945
1994-10-01,-3.3778,-10.7823,2.4734,5.4056
1995-01-01,-1.7596,-9.8619,2.6142,5.0859
1995-04-01,-2.6026,-10.028,2.1826,4.7311
1995-07-01,-2.3947,-10.8226,1.9079,5.5462
1995-10-01,-2.7156,-10.8382,1.6644,5.7644
1996-01-01,-3.0,-9.9689,-0.0987,5.6573
1996-04-01,-4.0046,-10.7196,0.6415,5.9765
1996-07-01,-4.9743,-11.4181,-0.9709,4.7322
1996-10-01,-4.6408,-10.9413,-1.3771,4.7263
1997-01-01,-4.3712,-11.0885,0.4773,5.9449
1997-04-01,-3.1433,-10.5405,1.1266,6.0443
1997-07-01,-2.3182,-10.5214,2.1634,6.105
1997-10-01,-2.1779,-9.9301,1.0263,6.4539
1998-01-01,-2.3561,-10.7281,-0.5364,7.0113
1998-04-01,-2.9424,-10.7078,-0.5623,5.8328
1998-07-01,-3.15,-10.8464,-0.2354,4.8434
1998-10-01,-4.1585,-11.7891,-0.0622,4.9896
1999-01-01,-4.6384,-13.0099,1.0963,4.5806
1999-04-01,-5.0836,-12.4313,0.2965,5.3878
1999-07-01,-4.7489,-12.682,0.53,5.2187
1999-10-01,-6.1944,-13.4698,-0.6707,4.078
2000-01-01,-5.9045,-13.5168,0.0479,3.3372
2000-04-01,-5.7937,-12.5844,0.0319,1.7074
2000-07-01,-6.2094,-14.379,-0.7307,1.5869
2000-10-01,-6.7326,-15.5463,-0.6742,1.4939
2001-01-01,-6.556,-16.2546,-0.5887,1.2592
2001-04-01,-6.3223,-15.0556,-0.6234,1.9265
2001-07-01,-6.8894,-14.7996,1.3973,2.6657
2001-10-01,-6.566,-14.1557,0.7399,2.5834
2002-01-01,-7.5517,-15.0378,0.2001,1.3226
2002-04-01,-8.743,-15.9035,-1.9774,1.713
2002-07-01,-8.2811,-15.5152,-2.0807,2.0662
2002-10-01,-8.2671,-15.4386,-1.5115,2.2718
2003-01-01,-8.7808,-14.9696,-1.5927,2.8807
2003-04-01,-8.8832,-15.0897,0.4261,2.2018
2003-07-01,-8.4062,-14.8372,0.0907,3.4271
2003-10-01,-8.2981,-14.6807,1.3429,2.8714
2004-01-01,-7.8651,-14.0285,0.8674,3.341
2004-04-01,-7.0346,-13.3529,0.5577,2.3485
2004-07-01,-6.7588,-14.6188,0.2458,1.8104
2004-10-01,-7.2443,-16.3866,0.1513,2.7402
2005-01-01,-7.7864,-15.5552,1.8096,2.6037
2005-04-01,-7.624,-14.5751,-1.2339,3.1276
2005-07-01,-8.6304,-15.3616,-2.7419,3.2898
2005-10-01,-9.4347,-16.8194,-2.1883,3.2468
2006-01-01,-8.7617,-16.7102,-1.2984,4.0851
2006-04-01,-9.4512,-15.9355,-0.089,3.9631
2006-07-01,-8.6862,-14.4674,0.4197,2.9147
2006-10-01,-7.8768,-14.0244,-0.1324,2.4527
2007-01-01,-8.2521,-14.2918,0.9396,2.8035
2007-04-01,-7.0155,-14.9763,1.594,3.0608
2007-07-01,-6.5911,-14.9371,1.1404,2.1405
2007-10-01,-5.9753,-15.1465,1.6469,1.7259
2008-01-01,-6.5985,-15.9286,1.2608,1.3969
2008-04-01,-5.8302,-14.2596,0.195,1.1976
2008-07-01,-4.7746,-12.8015,0.8148,0.3921
2008-10-01,-4.4544,-11.8626,0.5995,0.035
2009-01-01,-4.8023,-12.5693,0.361,-0.3821
2009-04-01,-4.1845,-11.8553,1.6896,0.1008
2009-07-01,-5.1878,-11.3136,-1.4371,0.6063
2009-10-01,-5.817,-10.9295,-2.28,0.5388
2010-01-01,-6.0581,-9.8998,-2.555,0.3236
2010-04-01,-5.8154,-9.3615,-1.8963,0.4275
2010-07-01,-5.0598,-8.7395,-1.3924,-0.0424
2010-10-01,-5.747,-8.2,-2.3428,-0.7105
2011-01-01,-5.824,-7.8973,-2.3908,-1.2547
2011-04-01,-5.6842,-9.2942,-2.2953,-1.6156
2011-07-01,-5.2913,-9.1973,1.0802,-2.2936
2011-10-01,-4.8152,-9.6123,2.4499,-2.1764
2012-01-01,-4.6572,-10.6062,1.0582,-1.7186
2012-04-01,-3.655,-9.2307,0.2713,-2.6508
2012-07-01,-3.4758,-7.8175,-0.9864,-2.6158
2012-10-01,-3.043,-6.7001,-2.5,-2.7277
2013-01-01,-2.8753,-6.466,-1.6169,-2.5028
2013-04-01,-2.4767,-5.3555,-1.968,-2.4906
2013-07-01,-2.3726,-5.3158,-1.2656,-3.3427
2013-10-01,-1.669,-5.1236,-2.3596,-4.0802
2014-01-01,-2.7391,-5.9684,-2.1777,-4.0425
2014-04-01,-3.7847,-5.6208,-1.158,-3.4052
2014-07-01,-2.5718,-5.5425,-0.3286,-4.7138
2014-10-01,-2.9528,-6.5546,0.2203,-4.4863
2015-01-01,-3.1297,-6.5655,-1.1883,-3.7525
2015-04-01,-2.2733,-6.5993,0.1417,-3.8244
2015-07-01,-2.7484,-5.1313,-0.7152,-3.4742
2015-10-01,-2.7225,-4.3859,0.2037,-3.8761
2016-01-01,-3.0763,-4.3467,0.1116,-3.9277
2016-04-01,-3.2825,-4.1177,-1.3094,-4.8803
2016-07-01,-2.7891,-4.0523,-1.1019,-6.2669
2016-10-01,-2.2043,-4.1847,-0.2957,-5.6812
2017-01-01,-1.9715,-5.0206,0.4355,-6.2522
2017-04-01,-2.5633,-5.1115,0.1203,-6.5055
2017-07-01,-3.2148,-5.6783,1.604,-7.3174
2017-10-01,-2.6578,-6.6486,1.9699,-8.1434
2018-01-01,-2.3984,-6.2096,0.9253,-8.2277
2018-04-01,-1.5967,-5.8666,1.3053,-8.6454
2018-07-01,-1.0962,-7.266,2.717,-8.3986
2018-10-01,-0.418,-7.3341,3.5907,-8.1071
2019-01-01,-0.05,-6.5076,0.9264,-7.8946
2019-04-01,-0.2843,-5.6302,-0.3707,-7.7314
2019-07-01,0.3013,-4.7795,1.2625,-6.7648
2019-10-01,-0.5341,-4.7184,-0.3008,-7.3853
