date,price,quantity
2000-04-01,1.7655,0.1395
2000-07-01,-0.1211,0.1665
2000-10-01,0.1931,0.6269
2001-01-01,-1.4484,-0.2172
2001-04-01,-1.5079,-0.4464
2001-07-01,-1.9836,-0.5645
2001-10-01,-0.5098,-1.3471
2002-01-01,-0.0014,0.0144
2002-04-01,-1.4742,0.5704
2002-07-01,-0.8703,-0.0731
2002-10-01,0.2793,-0.3043
2003-01-01,0.7988,-0.1802
2003-04-01,-0.9658,0.5881
2003-07-01,0.6526,-1.6966
2003-10-01,-0.5789,1.6708
2004-01-01,1.0295,-0.8081
2004-04-01,0.3137,-0.4876
2004-07-01,0.7363,-0.8482
2004-10-01,0.249,0.3305
2005-01-01,-1.4342,-0.1293
2005-04-01,0.7568,0.8675
2005-07-01,0.2499,0.0724
2005-10-01,1.7829,-0.6911
2006-01-01,1.0404,-0.2708
2006-04-01,1.8333,0.6632
2006-07-01,2.7794,0.3747
2006-10-01,1.3406,0.6856
2007-01-01,-0.1427,0.0016
2007-04-01,1.0405,0.328
2007-07-01,-0.747,-0.5847
2007-10-01,-0.7573,-0.7952
2008-01-01,0.7776,-1.286
2008-04-01,-1.3159,-0.7639
2008-07-01,0.8558,-1.9846
2008-10-01,0.5099,-0.0606
2009-01-01,0.6286,-1.0511
2009-04-01,0.4938,0.2739
2009-07-01,1.6266,1.3681
2009-10-01,1.1836,0.5625
2010-01-01,0.6666,0.9352
2010-04-01,1.6266,0.5524
2010-07-01,0.7371,-0.2133
2010-10-01,-0.2319,1.168
2011-01-01,-0.0003,-0.1006
2011-04-01,0.3897,-0.036
2011-07-01,2.4407,-0.87
2011-10-01,0.8577,-0.9404
2012-01-01,-0.7201,-1.7843
2012-04-01,-0.9765,-1.0784
2012-07-01,0.4716,-0.0354
2012-10-01,-0.5105,-0.4614
2013-01-01,1.1962,-0.272
2013-04-01,-0.5981,-0.0929
2013-07-01,-0.8693,0.2173
2013-10-01,-0.8369,0.4168
2014-01-01,-1.0238,-0.3673
2014-04-01,0.2718,-0.9465
2014-07-01,-1.5925,-0.5486
2014-10-01,-0.2124,-0.9788
2015-01-01,-1.0572,0.2991
2015-04-01,-0.9531,-1.7958
2015-07-01,-2.2637,-0.147
2015-10-01,-1.2664,0.4023
2016-01-01,-0.4811,-1.071
2016-04-01,-0.0213,-0.1201
2016-07-01,0.5055,0.0908
2016-10-01,0.297,0.2621
2017-01-01,0.1241,0.888
2017-04-01,0.5866,-1.7058
2017-07-01,-0.0688,0.6256
2017-10-01,0.6345,-1.3159
2018-01-01,-0.4719,0.2113
2018-04-01,0.7476,1.1052
2018-07-01,0.782,-0.3007
2018-10-01,0.5047,-0.2172
2019-01-01,-2.0083,0.6958
2019-04-01,-0.2701,1.5226
2019-07-01,-1.2243,0.5372
2019-10-01,-0.2952,0.627
2020-01-01,0.3834,1.072
2020-04-01,0.3342,1.0219
2020-07-01,1.7533,-0.5499
2020-10-01,1.1033,-0.3593
2021-01-01,-1.7101,0.3599
2021-04-01,-0.3839,1.5402
2021-07-01,-0.782,1.324
2021-10-01,-0.3166,0.4792
2022-01-01,-1.1434,-0.1139
2022-04-01,0.5049,-0.8098
2022-07-01,0.1413,-0.2852
2022-10-01,0.6733,1.2029
2023-01-01,0.2201,0.5416
2023-04-01,0.3187,0.0765
2023-07-01,-0.5301,-0.5113
2023-10-01,0.097,-1.2141
2024-01-01,0.0031,0.0833
2024-04-01,-1.179,-0.8107
2024-07-01,-0.5981,0.7298
2024-10-01,0.5387,0.6509
